"24","2006-07-01 00:00:00","This is the July 2006 Rubyforge run."
"30","2006-08-01 00:00:00","Rubyforge August 2006 run"
"31","2006-09-01 10:35:00","This is the September Rubyforge run."
"35","2006-10-02 00:00:00","This is the October Rubyforge run"
"39","2006-12-01 00:00:00","This is the December 2006 Rubyforge run."
"43","2007-01-01 00:00:00","Rubyforge, January 2007"
"48","2007-02-01 00:00:00","February 1, 2007 Rubyforge run"
"53","2007-03-01 00:00:00","This is the March 2007 Rubyforge data."
"59","2007-04-01 00:00:00","April 2007 Rubyforge run"
"64","2007-05-02 00:00:00","Rubyforge May 2007 run"
"70","2007-06-01 00:00:00","2007 June Rubyforge"
"76","2007-07-01 00:00:00","2007 July Rubyforge run"
"82","2007-08-01 00:00:00","2007 August RF run"
"88","2007-09-03 00:00:00","RubyForge September 2007"
"95","2007-10-01 00:00:00","2007-Oct Rubyforge run"
"100","2007-11-01 00:00:00","2007 Nov Rubyforge run"
"105","2007-12-01 00:00:00","December 2007 Rubyforge"
"108","2008-01-02 10:17:15","Rubyforge January 2008"
"112","2008-02-01 00:00:00","February 2008 Rubyforge run"
"116","2008-03-01 00:00:00","March 2008 Rubyforge run"
"121","2008-04-01 00:00:00","2008-Apr Rubyforge run"
"125","2008-05-05 00:00:00","2008-May RubyForge run"
"134","2008-07-01 00:00:00","2008-Jul Rubyforge run"
"140","2008-08-05 00:00:00","2008-Aug Rubyforge"
"145","2008-10-01 00:00:00","2008-Oct Rubyforge run"
"152","2008-11-30 17:16:08",NULL
"157","2009-01-31 21:32:26","Rubyforge February 2009"
"161","2009-03-02 00:00:00","2009 March Rubyforge"
"166","2009-04-01 00:00:00","Rubyforge April 2009"
"169","2009-05-01 19:20:11","Rubyforge May 2009"
"174","2009-06-01 00:00:00","June 2009 Rubyforge run"
"179","2009-07-05 00:00:00","2009 July Rubyforge"
"184","2009-09-01 00:00:00","2009-Sep Rubyforge"
"189","2009-10-02 00:00:00","2009 October Rubyforge"
"195","2009-11-02 00:00:00",
"201","2009-12-02 11:41:41","2009-Dec Rubyforge"
"208","2010-04-14 00:00:00","Restore from backup - Rubyforge - February Data, April Restore."
"219","2010-05-03 00:00:00","2010-May Rubyforge run"
"229","2010-09-07 00:00:00","2010-Sep Rubyforge collection"
"238","2011-01-14 00:00:00","2011-Jan Rubyforge collection"
"248","2011-03-03 19:53:01","Rubyforge 2011-Mar"
"256","2011-04-04 12:21:08","Rubyforge 2011-Apr"
"266","2011-05-03 08:48:15","Rubyforge 2011-May"
"279","2011-08-31 16:23:38","Rubyforge 2011-Sep"
"289","2011-11-01 13:34:38","Rubyforge 2011-Nov"
"298","2012-01-17 13:05:02","Rubyforge 2012-Jan"
"307","2012-05-21 12:13:43","Rubyforge 2012-May"
"317","2012-07-23 09:56:36","Rubyforge 2012-Jul"
"332","2012-08-09 13:10:53","Rubyforge 2012-Aug"
"336","2012-09-05 07:51:19","Rubyforge 2012-Sep"
"344","2012-11-01 11:01:41","Rubyforge 2012-Nov"
"375","2013-03-21 08:18:38","Rubyforge 2013-Mar"
"382","2013-06-26 14:59:30","Rubyforge 2013-Jun"
"388","2013-09-11 11:04:56","Rubyforge 2013-Sep"
"1573","2013-12-03 11:52:38","Rubyforge 2013-Dec"
"8080","2014-03-05 11:17:18","Rubyforge 2014-Mar"
"12987","2014-05-14 09:47:34","Rubyforge 2014-May"
